Metric,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,FY24,FY25,FY26
Revenue from Operations,218.4,187.2,156.8,121.3,93.5,68.4,82.7,107.3,128.0,113.0,163.6
YoY Growth (%),,-14.3%,-16.3%,-22.6%,-22.9%,-26.8%,+20.9%,+29.7%,+19.3%,-11.7%,+44.8%
Raw Material & Sub-contract Cost,152.0,131.0,110.6,87.2,67.4,49.3,59.6,74.8,88.5,77.2,119.1
Employee Benefit Expenses,24.2,22.1,20.4,18.7,17.2,14.8,13.2,14.7,14.2,16.8,17.4
Other Operating Expenses,28.0,25.9,21.5,22.2,23.1,22.4,14.2,10.0,12.2,21.0,23.9
Total Operating Expenses,204.2,179.1,152.5,128.1,107.7,86.5,87.0,99.5,114.9,115.0,160.4
EBITDA,14.2,8.1,4.3,-6.8,-14.2,-18.1,-4.3,7.8,13.1,-2.0,3.2
EBITDA Margin (%),6.5%,4.3%,2.7%,-5.6%,-15.2%,-26.5%,-5.2%,7.3%,10.2%,-1.8%,2.0%
Depreciation & Amortisation,4.8,5.1,5.3,5.4,5.6,4.8,4.6,4.4,4.2,4.1,4.3
EBIT,9.4,3.0,-1.0,-12.2,-19.8,-22.9,-8.9,3.4,8.9,-6.1,-1.1
Finance Costs (Interest),6.8,6.8,7.2,7.8,7.6,7.4,7.1,6.2,5.8,5.2,5.6
Other Income,2.1,1.4,1.2,1.6,2.7,2.0,4.8,2.6,3.0,19.2,2.8
Profit Before Tax (PBT),4.7,-2.4,-7.0,-18.4,-24.7,-28.3,-11.2,-0.2,6.1,7.9,-3.9
Tax Expense,2.6,1.4,1.2,0.0,0.0,0.0,1.2,1.8,0.0,4.4,7.0
PAT (Net Profit / Loss),2.1,-3.8,-8.2,-18.4,-24.7,-28.3,-12.4,1.6,6.1,3.5,-10.9
PAT Margin (%),1.0%,-2.0%,-5.2%,-15.2%,-26.4%,-41.4%,-15.0%,1.5%,4.8%,3.1%,-6.7%
EPS (Rs.),0.57,-1.03,-2.22,-4.98,-6.7,-7.67,-3.36,0.43,1.65,0.95,-2.95
