Metric,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,FY24,FY25,FY26
--- EQUITY & LIABILITIES ---,,,,,,,,,,,
Share Capital,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69
Reserves & Surplus (excl Accum Losses),42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Accumulated Losses,-17.3,-21.1,-29.3,-47.5,-71.8,-99.5,-79.9,-64.4,-52.5,-41.6,-50.9
Total Equity / Net Worth,28.4,24.6,16.4,-1.8,-26.1,-53.8,-34.2,-18.7,-6.8,4.1,-5.2
Long-Term Borrowings,28.0,32.1,34.8,38.4,40.2,38.1,28.4,24.1,18.4,18.8,22.4
Short-Term Borrowings,14.0,16.2,18.3,23.3,28.2,34.0,29.9,20.1,20.2,23.3,25.0
Total Debt (Borrowings),42.0,48.3,53.1,61.7,68.4,72.1,58.3,44.2,38.6,42.1,47.4
Trade Payables,38.2,40.1,38.4,34.2,28.4,22.3,28.4,36.2,53.8,74.8,82.4
Other Current Liabilities & Provisions,18.4,16.2,14.8,13.1,14.2,14.8,12.8,14.1,16.2,18.4,22.1
Total Liabilities,127.0,129.2,122.7,108.2,85.0,55.4,65.1,75.8,102.0,139.4,146.7
--- ASSETS ---,,,,,,,,,,,
Gross Block (Fixed Assets),58.4,60.1,61.8,62.4,62.8,63.2,54.2,52.1,52.8,42.1,42.6
Accumulated Depreciation,22.1,27.2,32.4,37.8,43.6,48.6,38.4,32.4,35.6,34.2,37.6
Net Block (Net Fixed Assets),36.3,32.9,29.4,24.6,19.2,14.6,15.8,19.7,17.2,7.9,5.0
Capital Work-in-Progress,2.1,1.8,1.2,0.8,0.4,0.2,0.4,0.8,1.2,0.4,0.4
Investments,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
Trade Receivables,68.4,74.2,78.6,82.3,71.4,64.2,55.3,48.7,58.2,72.1,89.4
Inventories,12.3,11.8,10.4,9.2,7.2,5.4,8.4,9.8,10.4,12.3,16.4
Cash & Cash Equivalents,3.2,2.7,2.1,1.8,1.4,1.2,2.4,3.2,4.1,6.8,4.2
Other Current Assets,4.2,5.3,1.0,-10.9,-15.0,-30.5,-7.1,2.3,10.6,49.6,31.4
Total Assets,127.0,129.2,122.7,108.2,85.0,55.4,65.1,75.8,102.0,139.4,146.7
--- KEY RATIOS ---,,,,,,,,,,,
Debt / Equity (x),1.5x,2.0x,3.2x,NM,NM,NM,NM,NM,NM,10.3x,NM
Current Ratio (x),1.8x,1.7x,1.6x,1.4x,1.2x,0.9x,1.4x,1.5x,1.5x,1.8x,1.6x
Receivable Days,114,145,183,248,279,343,244,166,166,233,199
Inventory Days,21,23,24,28,28,29,37,33,30,40,37
Payable Days,64,78,89,103,111,119,125,123,153,242,184
Working Capital Days,71,90,118,173,196,253,156,76,43,31,52
