Metric,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,FY24,FY25,FY26
EBITDA,14.2,8.1,4.3,-6.8,-14.2,-18.1,-4.3,7.8,13.1,-2.0,3.2
Change in Working Capital,-8.2,-7.6,-6.8,-3.4,-0.8,10.2,10.4,-0.2,-16.8,24.3,8.1
Taxes Paid,-2.9,-2.9,-2.6,0.0,0.0,0.0,-2.1,-1.3,-0.3,-2.3,-3.2
Cash Flow from Operations (CFO),3.1,-2.4,-5.1,-11.3,-16.2,-9.4,4.2,6.3,-3.0,20.0,8.1
Capital Expenditure (Capex),-3.8,-2.1,-1.8,-1.2,-0.8,-0.4,-0.8,-4.8,-0.6,-0.2,-0.5
Asset Sale Proceeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0.0
Cash Flow from Investing (CFI),-3.8,-2.1,-1.8,-1.2,-0.8,-0.4,-0.8,-4.8,-0.6,22.4,-0.5
Debt Raised / (Repaid),4.2,6.3,4.8,8.3,6.2,3.8,-13.8,-0.1,0.4,-7.0,3.0
Interest Paid,-6.8,-6.8,-7.2,-7.8,-7.6,-7.4,-7.1,-6.2,-5.8,-5.2,-5.6
Cash Flow from Financing (CFF),-2.6,-0.5,-2.4,0.5,-1.4,-3.6,-20.9,-6.3,-5.4,-12.2,-2.6
Net Change in Cash,-3.3,-5.0,-9.3,-12.0,-18.4,-13.4,-17.5,-4.8,-9.0,30.2,5.0
Opening Cash,6.5,3.2,-1.8,-11.1,-23.1,-41.5,-54.9,-72.4,-77.2,-86.2,-56.0
Closing Cash,3.2,-1.8,-11.1,-23.1,-41.5,-54.9,-72.4,-77.2,-86.2,-56.0,-51.0
---,,,,,,,,,,,
Free Cash Flow (FCF = CFO - Capex),-0.7,-4.5,-6.9,-12.5,-17.0,-9.8,3.4,1.5,-3.6,19.8,7.6
EBITDA-to-CFO Conversion (%),22%,-30%,-119%,NM,NM,NM,NM,81%,-23%,NM,253%
CFO-to-PAT Quality Ratio,1.5x,0.6x,0.6x,NM,NM,NM,NM,3.9x,NM,5.7x,NM
