Ratio,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,FY24,FY25,FY26
Revenue Growth (%),+NM,-14.3%,-16.3%,-22.6%,-22.9%,-26.8%,+20.9%,+29.7%,+19.3%,-11.7%,+44.8%
Gross Margin (%),30.4%,30.0%,29.4%,28.1%,27.9%,27.9%,27.9%,30.3%,30.9%,31.7%,27.2%
EBITDA Margin (%),6.5%,4.3%,2.7%,-5.6%,-15.2%,-26.5%,-5.2%,7.3%,10.2%,-1.8%,2.0%
EBIT Margin (%),4.3%,1.6%,-0.6%,-10.1%,-21.2%,-33.5%,-10.8%,3.2%,7.0%,-5.4%,-0.7%
PAT Margin (%),1.0%,-2.0%,-5.2%,-15.2%,-26.4%,-41.4%,-15.0%,1.5%,4.8%,3.1%,-6.7%
ROE (%),7.4%,-15.5%,-50.0%,NM,NM,NM,NM,NM,NM,85.4%,NM
ROCE (%),8.2%,3.4%,-1.2%,-12.4%,-18.3%,-24.1%,-5.6%,4.2%,8.7%,-1.1%,2.3%
Asset Turnover (x),1.72x,1.45x,1.28x,1.12x,1.10x,1.24x,1.27x,1.41x,1.26x,0.81x,1.11x
Debt / Equity (x),1.5x,2.0x,3.2x,NM,NM,NM,NM,NM,NM,10.3x,NM
Net Debt / EBITDA (x),2.7x,5.0x,11.4x,NM,NM,NM,NM,5.2x,1.9x,NM,14.8x
Interest Coverage (EBIT/Int) (x),1.4x,0.4x,-0.1x,-1.6x,-2.6x,-3.1x,-1.3x,0.5x,1.5x,-1.2x,-0.2x
Current Ratio (x),1.8x,1.7x,1.6x,1.4x,1.2x,0.9x,1.4x,1.5x,1.5x,1.8x,1.6x
Receivable Days,114,145,183,248,279,343,244,166,166,233,199
Inventory Days,21,23,24,28,28,29,37,33,30,40,37
Payable Days,64,78,89,103,111,119,125,123,153,242,184
Cash Conversion Cycle (Days),71,90,118,173,196,253,156,76,43,31,52
EPS (Rs.),0.57,-1.03,-2.22,-4.98,-6.7,-7.67,-3.36,0.43,1.65,0.95,-2.95
