Quarter,Revenue (Rs. Cr),QoQ Revenue Growth,YoY Revenue Growth,EBITDA (Rs. Cr),EBITDA Margin (%),PAT (Rs. Cr),PAT Margin (%),Source
Q1FY24,41.9,,,5.8,13.8%,1.03,2.5%,EquityBulls (verified)
Q2FY24,30.1,-28.2%,,3.1,10.3%,3.21,10.7%,EquityBulls (verified)
Q3FY24,36.9,+22.6%,,4.2,11.4%,0.49,1.3%,Business Standard (estimated)
Q4FY24,19.1,-48.2%,,0.0,0.0%,1.32,6.9%,FY24 annual back-calculated
Q1FY25,24.9,+30.4%,-40.6%,-1.2,-4.8%,-0.36,-1.4%,Annual report back-calculated
Q2FY25,34.1,+37.0%,+13.3%,2.1,6.2%,-3.0,-8.8%,Business Standard (verified)
Q3FY25,17.8,-47.8%,-51.8%,11.4,64.0%,6.37,35.8%,Business Standard (verified)
Q4FY25,36.2,+101.7%,+89.5%,-14.3,-39.5%,0.47,1.3%,Annual report back-calculated
Q1FY26,44.7,+23.5%,+79.5%,2.8,6.3%,0.22,0.5%,ScanX (verified)
Q2FY26,32.4,-27.5%,-4.9%,-3.2,-9.9%,-2.23,-6.9%,EquityBulls (verified)
Q3FY26,32.0,-1.2%,+79.8%,3.6,11.3%,-12.22,-38.2%,IndMoney (verified)
